school,state,district,postcode,lat,lon
SK SRI BELAHAN,Johor,Batu Pahat,83100,1.659045,103.192817
SK MUTIARA,Johor,Batu Pahat,83100,1.663239,103.185006
SK RENGIT,Johor,Batu Pahat,83100,1.677653,103.162375
SMK PERMATA JAYA,Johor,Batu Pahat,83100,1.678437,103.149235
SJK(C) CHONG HWA RENGIT,Johor,Batu Pahat,83100,1.680113,103.145013
SMK TUN SARDON,Johor,Batu Pahat,83100,1.681511,103.14849
SK SRI RENGIT,Johor,Batu Pahat,83100,1.683843,103.147118
SK SUNGAI TONGKANG,Johor,Batu Pahat,83100,1.691499,103.121509
SK SERI SAMPURNA,Johor,Batu Pahat,83100,1.702128,103.101782
SK SERI PERPAT,Johor,Batu Pahat,83100,1.722369,103.127374
SK KG BAHRU,Johor,Batu Pahat,83200,1.723126,103.079045
SK SERI LADANG,Johor,Batu Pahat,83100,1.725293,103.149769
SK SERI MERLONG,Johor,Batu Pahat,83110,1.73244,103.189616
SK SENGGARANG,Johor,Batu Pahat,83200,1.749363,103.048525
SK SERI MULIA,Johor,Batu Pahat,83100,1.749563,103.167073
SMA JAWAHIR AL-ULUM,Johor,Batu Pahat,83200,1.749664,103.05716
SK PARIT KEMANG,Johor,Batu Pahat,83200,1.75097,103.060902
SJK(C) CHONG HWA SENGGARANG,Johor,Batu Pahat,83200,1.751718,103.053335
SK KORIS,Johor,Batu Pahat,83200,1.752016,103.002568
SMK TUNKU MAHMOOD ISKANDAR,Johor,Batu Pahat,83200,1.758468,103.107552
SJK(C) CHONG HWA SG.AYAM,Johor,Batu Pahat,83040,1.760412,102.931479
SK SETIA BUDI,Johor,Batu Pahat,83110,1.767755,103.18733
SMK SENGGARANG,Johor,Batu Pahat,83200,1.769827,102.969085
SJK(C) CHUNG CHENG,Johor,Batu Pahat,83200,1.772225,102.974011
SJK(C) CHONG HWA PT KADIR,Johor,Batu Pahat,83200,1.772464,103.106661
SK SERI REJO SARI,Johor,Batu Pahat,83200,1.77484,103.123845
SJK(C) YEONG CHANG,Johor,Batu Pahat,83040,1.777687,102.951241
SK PARIT KADIR,Johor,Batu Pahat,83200,1.778208,103.083484
SK SG SULOH,Johor,Batu Pahat,83040,1.778629,102.948704
SK SERI MOLEK,Johor,Batu Pahat,83200,1.787508,103.029114
SJK(C) CHONG HWA SEGENTING,Johor,Batu Pahat,83030,1.788377,102.89295
SK SERI BANANG,Johor,Batu Pahat,83040,1.790626,102.938809
SK MINYAK BEKU,Johor,Batu Pahat,83030,1.791755,102.893521
SMK BANANG JAYA,Johor,Batu Pahat,83000,1.797373,102.962449
SK SERI TIMBUL,Johor,Batu Pahat,83200,1.797876,103.110809
SK BANANG JAYA,Johor,Batu Pahat,83000,1.798143,102.961815
SM SAINS BATU PAHAT,Johor,Batu Pahat,83000,1.79989,102.960147
SJK(C) PING MING,Johor,Batu Pahat,83030,1.800568,102.906604
SK SERI PANDAN,Johor,Batu Pahat,86400,1.809755,103.065021
SK SERI PULEH,Johor,Batu Pahat,86400,1.820213,103.119549
SK SERI KEMAJUAN,Johor,Batu Pahat,86400,1.82316,103.143139
SJK(C) CHENG SIU 2,Johor,Batu Pahat,83000,1.833915,102.949432
SJK(C) CHENG SIU 1,Johor,Batu Pahat,83000,1.834004,102.949323
SJK(C) HWA JIN,Johor,Batu Pahat,83000,1.835297,102.946467
SK SETIA JAYA,Johor,Batu Pahat,86400,1.83723,103.140966
SK SG KAJANG,Johor,Batu Pahat,83020,1.837925,102.877125
SK SERI AMAN,Johor,Batu Pahat,83300,1.838236,103.041074
SJK(T) SRI GADING,Johor,Batu Pahat,83009,1.838425,103.017174
SMK DATO' SYED ESA,Johor,Batu Pahat,83000,1.840103,102.937758
SK MONTFORT,Johor,Batu Pahat,83000,1.840777,102.934574
SMK TINGGI BATU PAHAT,Johor,Batu Pahat,83000,1.842525,102.933435
SK BANDAR,Johor,Batu Pahat,83000,1.845727,102.927153
SK JELOTONG,Johor,Batu Pahat,86400,1.845827,103.085964
SMA PARIT RAJA,Johor,Batu Pahat,86400,1.845906,103.118604
SK BAGAN,Johor,Batu Pahat,83000,1.845974,102.860764
SK TEMENGGONG IBRAHIM PENGGARAM,Johor,Batu Pahat,83000,1.846072,102.941564
SMK (P) TEMENGGONG IBRAHIM,Johor,Batu Pahat,83000,1.846075,102.94157
SJK(C) TUNG CHENG,Johor,Batu Pahat,83000,1.847185,102.859099
SK PARIT BINGAN,Johor,Batu Pahat,86400,1.847458,103.151815
SMK DATO' BENTARA LUAR,Johor,Batu Pahat,83000,1.847581,102.948743
SK PINTAS RAYA,Johor,Batu Pahat,86400,1.847717,103.071694
SK LIMPOON 1,Johor,Batu Pahat,83000,1.848704,102.949588
SMA ATTARBIAH AL ISLAMIAH,Johor,Batu Pahat,83000,1.848815,102.946009
SK PENDIDIKAN KHAS BATU PAHAT,Johor,Batu Pahat,83007,1.848907,102.948916
SK TENGKU MARIAM,Johor,Batu Pahat,83000,1.848925,102.949256
SK PESERAI,Johor,Batu Pahat,83000,1.84949,102.906676
SJK(C) AI CHUN 1,Johor,Batu Pahat,83000,1.850407,102.930262
SJK(C) AI CHUN 2,Johor,Batu Pahat,83007,1.850414,102.930257
SMK SERI GADING,Johor,Batu Pahat,83300,1.851971,103.050622
SJK(T) SERI PELANGI,Johor,Batu Pahat,83000,1.853017,102.949897
SMK DATO ONN,Johor,Batu Pahat,83020,1.853047,102.888151
SK PARIT RAJA,Johor,Batu Pahat,86400,1.855662,103.115484
SK GAMBUT,Johor,Batu Pahat,83600,1.855698,102.829083
SJK(C) CHONG HWA SRI GADING,Johor,Batu Pahat,83300,1.856172,103.029984
SK PINTAS PUDING,Johor,Batu Pahat,86400,1.857073,103.100002
SMK DATIN ONN JAFFAR,Johor,Batu Pahat,83000,1.85745,102.943109
SK SERI PUTERI,Johor,Batu Pahat,83000,1.857875,102.940995
SMK CONVENT,Johor,Batu Pahat,83000,1.862471,102.950891
SK CONVENT,Johor,Batu Pahat,83000,1.862543,102.949879
SRA BERSEPADU BATU PAHAT,Johor,Batu Pahat,83000,1.862872,102.94302
SK BUKIT SOGA,Johor,Batu Pahat,83000,1.863573,102.955216
SK SERI PENGKALAN,Johor,Batu Pahat,83600,1.864302,102.814848
SK SERI GADING,Johor,Batu Pahat,83300,1.865435,103.028875
SJK(C) KONG NAN,Johor,Batu Pahat,86400,1.86645,103.116806
SJK(C) PANCHOR,Johor,Batu Pahat,83300,1.867359,103.002221
SK PARIT LAPIS,Johor,Batu Pahat,83000,1.867596,102.923238
SMK TUN ISMAIL,Johor,Batu Pahat,86400,1.867787,103.112545
SMK MUNSHI SULAIMAN,Johor,Batu Pahat,83000,1.868203,102.978564
SMK TUN AMINAH,Johor,Batu Pahat,83007,1.868736,102.979883
KOLEJ VOKASIONAL TUN HUSSEIN ONN,Johor,Batu Pahat,83000,1.868884,102.986777
SJK(C) SIN HWA,Johor,Batu Pahat,83600,1.869038,102.803264
KOLEJ VOKASIONAL BATU PAHAT ,Johor,Batu Pahat,83000,1.869434,102.984132
SJK(C) SIN HWA,Johor,Batu Pahat,83050,1.870378,102.94386
SK SERI SABAK UNI,Johor,Batu Pahat,86400,1.871825,103.128135
SK SERI PAYA,Johor,Batu Pahat,86400,1.871912,103.144326
SJK(C) HUA MIN,Johor,Batu Pahat,83000,1.872863,102.94807
SJK(C) HWA NAN,Johor,Batu Pahat,83000,1.873045,102.977501
SK SERI BEROLEH,Johor,Batu Pahat,83000,1.8735,102.971616
SK BUKIT KUARI,Johor,Batu Pahat,86400,1.873706,103.149346
SK LUBOK,Johor,Batu Pahat,83600,1.873848,102.795417
SK PENGHULU SALLEH,Johor,Batu Pahat,83020,1.873977,102.880949
SJK(C) CHERN HWA BUKIT PASIR,Johor,Batu Pahat,83050,1.8756,102.941619
SK TG SEMBERONG,Johor,Batu Pahat,83307,1.876399,103.063142
SK PARIT BILAL,Johor,Batu Pahat,83050,1.879528,102.946422
SK PESERIAN,Johor,Batu Pahat,83600,1.879963,102.783658
SMK SEMERAH,Johor,Batu Pahat,83600,1.879972,102.784501
SK SERI SEKAWAN DESA,Johor,Batu Pahat,83000,1.880875,102.86454
SMK SURIA PERDANA,Johor,Batu Pahat,86400,1.88289,103.151334
SJK(C) PEI CHUN,Johor,Batu Pahat,83600,1.884299,102.780785
SK SERI JASA SEPAKAT,Johor,Batu Pahat,83020,1.889273,102.841368
SJK(C) BULOH,Johor,Batu Pahat,83010,1.890919,102.987681
SJK(C) YORK CHAI,Johor,Batu Pahat,83710,1.894498,103.016526
SK SERI MANGGIS,Johor,Batu Pahat,86400,1.898429,103.104543
SK KOTA DALAM,Johor,Batu Pahat,86100,1.899991,103.163309
SK SERI BENGKAL,Johor,Batu Pahat,83300,1.900167,103.022399
SK BINDU,Johor,Batu Pahat,83010,1.902015,102.965406
SK SERI NASIB BAIK,Johor,Batu Pahat,86400,1.903269,103.070519
SK SERI PDG SARI,Johor,Batu Pahat,83000,1.903356,102.885476
SK SERI BUNUT,Johor,Batu Pahat,86400,1.903481,103.115244
SK SERI MAAMOR,Johor,Batu Pahat,83600,1.905388,102.818107
SK SERI IDAMAN,Johor,Batu Pahat,83710,1.907348,103.038137
SK SERI SEPARAP,Johor,Batu Pahat,83000,1.908872,102.867399
SK SERI TANJONG,Johor,Batu Pahat,83010,1.910728,102.909724
SJK(C) LI CHUN,Johor,Batu Pahat,83000,1.913671,102.913279
SJK(C) MALAYAN,Johor,Batu Pahat,86100,1.915186,103.180063
SMK DATUK MENTERI,Johor,Batu Pahat,86100,1.915332,103.17801
SK BUKIT RAHMAT,Johor,Batu Pahat,83010,1.916211,102.921826
SJK(C) TONGKANG,Johor,Batu Pahat,83010,1.917952,102.956358
SK SERI BINJAI,Johor,Batu Pahat,83010,1.918471,102.955181
SK SERI UTAMA,Johor,Batu Pahat,83600,1.919645,102.799607
SK AIR HITAM,Johor,Batu Pahat,86100,1.91974,103.179572
SK PARIT JU,Johor,Batu Pahat,83500,1.921251,102.899027
SK SERI MENDAPAT,Johor,Batu Pahat,86400,1.926739,103.075308
SK TENAGA SEPAKAT,Johor,Batu Pahat,83710,1.93197,103.039131
SK SRI COMEL,Johor,Batu Pahat,83000,1.933781,102.893707
SK SERI BANDAN,Johor,Batu Pahat,86100,1.935442,103.123721
SK SERI LAKSANA,Johor,Batu Pahat,83500,1.938984,102.852181
SMK TUNKU PUTRA,Johor,Batu Pahat,83010,1.945508,102.958262
SK SERI TELOK,Johor,Batu Pahat,83710,1.949351,103.028233
SJK(C) YANI,Johor,Batu Pahat,83710,1.957239,103.02758
SK KAMPUNG JAWA,Johor,Batu Pahat,83500,1.958076,102.874065
SK SERI MAIMON,Johor,Batu Pahat,83500,1.96406,102.861199
SK SERI TENGAH,Johor,Batu Pahat,83710,1.970983,103.042222
SK SERI PASIR PUTEH,Johor,Batu Pahat,83740,1.973102,103.057771
SK SERI BULAN,Johor,Batu Pahat,83730,1.975695,103.108879
SK PARIT SULONG,Johor,Batu Pahat,83500,1.976016,102.885883
SJK(C) SULONG,Johor,Batu Pahat,83500,1.976184,102.881827
SMK DATO SULAIMAN,Johor,Batu Pahat,83500,1.979506,102.876129
SK SERI MEDAN,Johor,Batu Pahat,83400,1.98052,102.958887
SMK PENGHULU SAAT,Johor,Batu Pahat,83500,1.981905,102.872904
SJK(C) CHONG HWA SRI MEDAN,Johor,Batu Pahat,83400,1.981908,102.956671
SK SERI CHANTEK,Johor,Batu Pahat,83500,1.984761,102.860578
SMA PARIT SULONG,Johor,Batu Pahat,83500,1.985238,102.876609
SMK SERI MEDAN,Johor,Batu Pahat,83400,1.9888087,102.960949
SK SERI PASIR,Johor,Batu Pahat,83400,2.000723,102.973238
SK SERI TIGA SERANGKAI,Johor,Batu Pahat,83500,2.002918,102.865886
SK SERI YONG PENG,Johor,Batu Pahat,83700,2.004555,103.057081
SK SERI PEMATANG RENGAS,Johor,Batu Pahat,83400,2.007438,102.93503
SMK DATO SETH,Johor,Batu Pahat,83700,2.007535,103.055092
SJK(T) LADANG YONG PENG,Johor,Batu Pahat,83700,2.011158,103.062303
SK YONG PENG,Johor,Batu Pahat,83700,2.013828,103.060741
SJK(C) YONG PENG 1,Johor,Batu Pahat,83700,2.013966,103.061413
SK TAMAN SERI KOTA,Johor,Batu Pahat,83700,2.016236,103.073217
SK SERI SEJATI,Johor,Batu Pahat,83400,2.016678,102.958482
SK SERI BERTAM,Johor,Batu Pahat,83700,2.017506,103.061576
SMK YONG PENG,Johor,Batu Pahat,83700,2.019874,103.061174
SK SERI DAYONG,Johor,Batu Pahat,83400,2.023506,102.984233
SJK(C) CHONG HWA KANGKAR SENANGGAR,Johor,Batu Pahat,83500,2.027098,102.881972
SJK(C) YONG PENG 2,Johor,Batu Pahat,83700,2.030313,103.067004
SK TENAGA SETIA,Johor,Batu Pahat,83400,2.032085,102.937595
SK AIR PUTIH,Johor,Batu Pahat,83500,2.049432,102.900359
SJK(C) KANGKAR BAHRU,Johor,Batu Pahat,83700,2.06052,103.126967
SK LADANG YONG PENG,Johor,Batu Pahat,83700,2.065871,103.122275
SK SEJAGONG,Johor,Batu Pahat,83400,2.069215,102.947675
SJK(C) LAM LEE,Johor,Batu Pahat,83720,2.096148,103.047845
SK SEPAKAT JAYA,Johor,Batu Pahat,83700,2.154821,103.039291
SK TANJONG ADANG,Johor,Johor Bahru,81560,1.35451811,103.5650736
SMK TANJUNG ADANG,Johor,Johor Bahru,81560,1.3555,103.5657
SK MORNI POK,Johor,Johor Bahru,81560,1.35992929,103.5878724
SK TG KUPANG,Johor,Johor Bahru,81560,1.360341,103.611932
SK PENDAS LAUT,Johor,Johor Bahru,81560,1.374706,103.627688
SK TIRAM DUKU,Johor,Johor Bahru,81560,1.381466628,103.5658568
SMK KOMPLEKS SULTAN ABU BAKAR,Johor,Johor Bahru,81560,1.384282127,103.5991725
SK KOMPLEKS SULTAN ABU BAKAR,Johor,Johor Bahru,81560,1.386014328,103.5971099
SK MEDINI,Johor,Johor Bahru,79100,1.423291192,103.6417741
SK LADANG PENDAS,Johor,Johor Bahru,81550,1.424862481,103.5924858
SK SIKIJANG,Johor,Johor Bahru,79100,1.43090094,103.6646962
SK PERIGI ACHEH,Johor,Johor Bahru,81700,1.435609425,103.9880285
SK PASIR PUTEH,Johor,Johor Bahru,81700,1.435732768,103.9307016
SMK MEDINI,Johor,Johor Bahru,79576,1.43726651,103.6174572
KOLEJ VOKASIONAL PASIR GUDANG,Johor,Johor Bahru,81700,1.43955807,103.9270489
SK GELANG PATAH,Johor,Johor Bahru,81550,1.448587205,103.5885912
SMK GELANG PATAH,Johor,Johor Bahru,81550,1.449413061,103.5909596
SJK(C) MING TERK,Johor,Johor Bahru,81550,1.450142389,103.5902488
SK SUNGAI MELAYU,Johor,Johor Bahru,80200,1.452866639,103.6962068
SK TG PUTERI RESORT,Johor,Johor Bahru,81700,1.454459358,103.9328849
SK TAMAN NUSA PERINTIS,Johor,Johor Bahru,81550,1.455907284,103.5926253
SK PASIR GUDANG (2),Johor,Johor Bahru,81700,1.456508,103.906469
SMK TG PUTERI RESORT,Johor,Johor Bahru,81700,1.458395569,103.9381313
SK PASIR GUDANG 3,Johor,Johor Bahru,81700,1.458567,103.916414
SJK(T) GELANG PATAH,Johor,Johor Bahru,81550,1.458679791,103.5747403
SJK(C) MING CHIH,Johor,Johor Bahru,79100,1.458918,103.64465
SK PASIR GUDANG (1),Johor,Johor Bahru,81700,1.459473467,103.9082301
SK AYER MOLEK,Johor,Johor Bahru,80000,1.462465839,103.757903
MAKTAB SULTAN ABU BAKAR,Johor,Johor Bahru,80100,1.463157624,103.7387466
SMK PASIR GUDANG 3,Johor,Johor Bahru,81700,1.46343112,103.9143294
SK INFANT JESUS CONVENT,Johor,Johor Bahru,80100,1.4643,103.7546
SMK INFANT JESUS CONVENT,Johor,Johor Bahru,80100,1.464723523,103.7542525
SMK SULTANAH ENGKU TUN AMINAH,Johor,Johor Bahru,80100,1.46511,103.74161
SJK(C) ST JOSEPH,Johor,Johor Bahru,80100,1.465574,103.758356
SK ST. JOSEPH,Johor,Johor Bahru,80100,1.46594621,103.7582195
SK PENDIDIKAN KHAS PRINCESS ELIZABETH,Johor,Johor Bahru,80100,1.466013243,103.7399295
SK (P) BANDAR TINGGI,Johor,Johor Bahru,80100,1.466328,103.757984
SK NONG CHIK,Johor,Johor Bahru,80100,1.466949,103.737394
SK SUNGAI DANGA,Johor,Johor Bahru,81200,1.467286875,103.6915612
SK NUSANTARA,Johor,Johor Bahru,81550,1.468252154,103.580727
SMK TAMAN NUSAJAYA,Johor,Johor Bahru,81550,1.468705298,103.5820225
SK PASIR GUDANG 4,Johor,Johor Bahru,81700,1.469397081,103.8922575
SK TANJONG LANGSAT,Johor,Johor Bahru,81757,1.470209522,104.0063131
SMK PASIR GUDANG,Johor,Johor Bahru,81700,1.470472292,103.9067012
SMK PASIR GUDANG 2,Johor,Johor Bahru,81700,1.470579545,103.8953796
SK NGEE HENG,Johor,Johor Bahru,80100,1.470638535,103.7542874
KOLEJ VOKASIONAL TANJUNG PUTERI ,Johor,Johor Bahru,80300,1.471791504,103.7669152
SK TAMAN PERLING 3,Johor,Johor Bahru,81200,1.472435022,103.6733115
SMK DATO JAAFAR,Johor,Johor Bahru,80300,1.472609308,103.7670815
SK (P) JLN. YAHYA AWAL,Johor,Johor Bahru,80100,1.472874759,103.7492502
SK TAMAN BUKIT INDAH,Johor,Johor Bahru,79100,1.473244781,103.6645675
SMK (P) SULTAN IBRAHIM,Johor,Johor Bahru,80100,1.473278,103.751796
SMK PASIR PUTIH,Johor,Johor Bahru,81700,1.473571903,103.9372569
SK (P) SULTAN IBRAHIM,Johor,Johor Bahru,80100,1.473974101,103.7513101
SK TEMENGGONG ABDUL RAHMAN 2,Johor,Johor Bahru,80100,1.474971552,103.7522542
SK TAMAN PASIR PUTIH,Johor,Johor Bahru,81700,1.47516997,103.9372998
SK TEMENGGONG ABDUL RAHMAN 1,Johor,Johor Bahru,80100,1.475706234,103.7520128
SMK TAMAN PELANGI,Johor,Johor Bahru,80400,1.475733047,103.7739882
SMK DATO' USMAN AWANG,Johor,Johor Bahru,81200,1.476383,103.670214
SK KAMPUNG PULAI,Johor,Johor Bahru,81550,1.476730498,103.5672998
SK TAMAN SUTERA,Johor,Johor Bahru,81200,1.477722585,103.6934227
SMK AMINUDDIN BAKI,Johor,Johor Bahru,80100,1.478189134,103.7444276
SJK(T) JALAN YAHYA AWAL,Johor,Johor Bahru,80100,1.478328563,103.7480271
SK KOTA MASAI 2,Johor,Johor Bahru,81700,1.478333926,103.9558795
SMK MOHD KHALID,Johor,Johor Bahru,80100,1.478650321,103.7421075
SMK SULTAN ISMAIL,Johor,Johor Bahru,80100,1.47870931,103.7445456
SMK KOTA MASAI 2,Johor,Johor Bahru,81700,1.47972821,103.9571804
SJK(C) FOON YEW 2,Johor,Johor Bahru,80100,1.480033879,103.7435693
SJK(T) LADANG BUKIT SERAMPANG,Johor,Johor Bahru,81200,1.4804884,103.649869
SMK TAMAN BUKIT INDAH,Johor,Johor Bahru,81200,1.48058623,103.6426404
SK TAMAN PELANGI,Johor,Johor Bahru,80400,1.481417437,103.7756592
SK TAMAN RINTING 3,Johor,Johor Bahru,81750,1.483358706,103.8597813
SMK SERI PERLING,Johor,Johor Bahru,81200,1.483578,103.684231
SK TAMAN BUKIT DAHLIA,Johor,Johor Bahru,81700,1.484801251,103.9004141
SK TAMAN RINTING 1,Johor,Johor Bahru,81750,1.485155,103.873731
SMK SRI TEBRAU,Johor,Johor Bahru,80050,1.485913994,103.7747929
SJK(T) PASIR GUDANG,Johor,Johor Bahru,81700,1.486367134,103.9175642
SK KOTA MASAI,Johor,Johor Bahru,81700,1.486528013,103.9508665
SK TAMAN CENDANA,Johor,Johor Bahru,81700,1.486721067,103.9059073
SK LARKIN 1,Johor,Johor Bahru,80350,1.488485366,103.7504679
SJK(T) MASAI,Johor,Johor Bahru,81750,1.488520223,103.8835886
SMK TAMAN RINTING 2,Johor,Johor Bahru,81750,1.488753496,103.8643062
SRA BERSEPADU JOHOR BAHRU,Johor,Johor Bahru,80050,1.488850023,103.7713999
SMK TAMAN MEGAH RIA,Johor,Johor Bahru,81750,1.488866111,103.8505679
SMK PERMAS JAYA 3,Johor,Johor Bahru,81750,1.488941187,103.8247168
SK MASAI,Johor,Johor Bahru,81750,1.488968,103.8840473
SMK TAMAN SELESA JAYA,Johor,Johor Bahru,81300,1.489005,103.635287
SK ANGKATAN TENTERA,Johor,Johor Bahru,80250,1.489010901,103.7615186
SK LARKIN 2,Johor,Johor Bahru,80350,1.489375558,103.7504733
SK KOTA MASAI 3,Johor,Johor Bahru,81700,1.489562,103.926525
SJK(C) CHEE TONG,Johor,Johor Bahru,81750,1.48991,103.850052
SK SENIBONG,Johor,Johor Bahru,81750,1.490292564,103.8224047
SJK(C) MASAI,Johor,Johor Bahru,81750,1.4903207,103.8849077
SK TAMAN SELESA JAYA,Johor,Johor Bahru,81300,1.490705484,103.6381638
SJK(C) FOON YEW 3,Johor,Johor Bahru,80350,1.491016515,103.750897
SMK BANDAR UDA UTAMA,Johor,Johor Bahru,81200,1.491367,103.669496
SJK(C) LADANG GRISEK,Johor,Johor Bahru,81700,1.491383,103.942996
SK TAMAN MEGAH RIA,Johor,Johor Bahru,81750,1.491499149,103.8583785
SEKOLAH TUN FATIMAH,Johor,Johor Bahru,80000,1.491558138,103.7356541
SK PERMAS JAYA 5,Johor,Johor Bahru,81750,1.491654665,103.8191378
SK TAMAN RINTING 2,Johor,Johor Bahru,81750,1.492459054,103.864333
SMK DATO PENGGAWA TIMUR,Johor,Johor Bahru,81750,1.4928827,103.8783342
SK KOMPLEKS UDA,Johor,Johor Bahru,81200,1.492914875,103.7138987
SK SRI TEBRAU,Johor,Johor Bahru,80150,1.493059665,103.7747741
SM TEKNIK JOHOR BAHRU,Johor,Johor Bahru,80350,1.493317,103.727591
SK PENGKALAN RINTING,Johor,Johor Bahru,81200,1.493536936,103.7042052
SK BANDAR UDA 2,Johor,Johor Bahru,81200,1.49401957,103.7202877
SMK SERI KOTA PUTERI 2,Johor,Johor Bahru,81750,1.494121459,103.8409603
SK TAMAN PERLING,Johor,Johor Bahru,81200,1.494303787,103.6836487
KOLEJ VOKASIONAL PERDAGANGAN,Johor,Johor Bahru,80350,1.494342,103.727207
SMK TASEK UTARA,Johor,Johor Bahru,80350,1.494413721,103.7291846
SK SERI PERLING 2,Johor,Johor Bahru,81200,1.494459303,103.6759722
SMK PERMAS JAYA 2,Johor,Johor Bahru,81750,1.494539742,103.8111904
SJK(C) PAI TZE,Johor,Johor Bahru,81550,1.494593368,103.5927996
SJK(C) PEI HWA,Johor,Johor Bahru,81200,1.494920486,103.6831659
SMK KOTA MASAI,Johor,Johor Bahru,81700,1.495148396,103.9255276
SMK TAMAN SELESA JAYA 2,Johor,Johor Bahru,81300,1.495368,103.633339
SK SERI KOTA PUTERI 4,Johor,Johor Bahru,81750,1.495378987,103.8416845
SK PERMAS JAYA 4,Johor,Johor Bahru,81750,1.49544602,103.8110241
SK SERI ALAM 2,Johor,Johor Bahru,81750,1.495663205,103.8851953
SK TAMAN SKUDAI BARU 2,Johor,Johor Bahru,81300,1.496507812,103.6318016
SK TASEK UTARA,Johor,Johor Bahru,80350,1.496706228,103.7289888
SJK(C) FOON YEW 1,Johor,Johor Bahru,80250,1.496765217,103.7620068
SMK SAINT JOSEPH,Johor,Johor Bahru,80350,1.497081609,103.7409514
SMK BANDAR BARU UDA,Johor,Johor Bahru,81200,1.4976849,103.7193865
SK TEBRAU BAKAR BATU,Johor,Johor Bahru,80150,1.497843096,103.7833142
SMK SERI KOTA PUTERI,Johor,Johor Bahru,81750,1.497993249,103.8586038
SK TANJUNG PUTERI,Johor,Johor Bahru,80350,1.498207752,103.749277
SK SERI KOTA PUTERI,Johor,Johor Bahru,81750,1.498524145,103.8523382
SMK TAMAN NUSA DAMAI,Johor,Johor Bahru,81700,1.498674297,103.8996041
SK KG PASIR,Johor,Johor Bahru,81200,1.498733285,103.6974996
SMK TASEK UTARA 2,Johor,Johor Bahru,80350,1.498786911,103.7263602
SJK(C) FOON YEW 4,Johor,Johor Bahru,80350,1.499258818,103.7332428
SJK(C) TAMPOI,Johor,Johor Bahru,81200,1.500368873,103.7043607
SK TAMAN PERMAS JAYA 3,Johor,Johor Bahru,81750,1.500650408,103.821069
SK TAMAN NUSA DAMAI,Johor,Johor Bahru,81700,1.501714879,103.8993251
KOLEJ VOKASIONAL (ERT) AZIZAH ,Johor,Johor Bahru,80350,1.501730967,103.7353134
SK TAMAN SURIA,Johor,Johor Bahru,81100,1.501848944,103.762157
SMK DATO ABDUL RAHMAN YASSIN,Johor,Johor Bahru,81200,1.502862,103.701478
SJK(C) PING MING,Johor,Johor Bahru,81120,1.503329014,103.6182511
SJK(C) NAM HENG BARU,Johor,Johor Bahru,81750,1.503567649,103.879635
SK TAMAN DAMAI JAYA,Johor,Johor Bahru,81300,1.503640043,103.64775
SJK(C) KUO KUANG 2,Johor,Johor Bahru,81300,1.503650768,103.671847
SMK DAMAI JAYA,Johor,Johor Bahru,81300,1.504932422,103.6414388
SK BANDAR SERI ALAM,Johor,Johor Bahru,81750,1.506176538,103.8835108
SK TAMAN CAHAYA MASAI,Johor,Johor Bahru,81700,1.506374953,103.9268929
SMA AL QURAN WADDIN,Johor,Johor Bahru,81100,1.507171293,103.7555695
SMK SRI RAHMAT,Johor,Johor Bahru,81200,1.507302676,103.6939135
SK SERI MELATI,Johor,Johor Bahru,81200,1.507361664,103.6988997
SK TAMAN TUN AMINAH 2,Johor,Johor Bahru,81300,1.507570804,103.6538923
SMK BANDAR SERI ALAM,Johor,Johor Bahru,81750,1.507951546,103.8867241
SK MAJIDI BARU,Johor,Johor Bahru,81100,1.508643316,103.7625754
SJK(T) TAMAN TUN AMINAH,Johor,Johor Bahru,81300,1.508889994,103.6482221
SK TAMAN SCIENTEX,Johor,Johor Bahru,81700,1.50990888,103.9137447
SJK(C) PEI HWA 2,Johor,Johor Bahru,81750,1.5099272,103.8056494
SK SERI KENANGA,Johor,Johor Bahru,81200,1.510091206,103.7031484
SMK TUN SYED NASIR ISMAIL,Johor,Johor Bahru,81100,1.510233314,103.7644261
SMK PERMAS JAYA,Johor,Johor Bahru,81750,1.510273533,103.8229465
SJK(T) PERMAS JAYA,Johor,Johor Bahru,81750,1.510432,103.827477
SMK SERI ALAM 2,Johor,Johor Bahru,81750,1.511222705,103.8916808
SK TAMAN PERMAS JAYA 2,Johor,Johor Bahru,81750,1.511785,103.8223
SMK TAMAN SCIENTEX,Johor,Johor Bahru,81700,1.511798,103.913311
SK KOPOK,Johor,Johor Bahru,81700,1.512407829,103.9254123
SMK TAMAN TUN AMINAH,Johor,Johor Bahru,81300,1.512879733,103.6583233
SK MOHD KHIR JOHARI,Johor,Johor Bahru,81100,1.513281924,103.7528497
SK TAMAN CEMPAKA,Johor,Johor Bahru,81200,1.513517876,103.699742
SK PERMAS JAYA 1,Johor,Johor Bahru,81750,1.515073,103.8199
SK TAMAN DAMANSARA ALIFF,Johor,Johor Bahru,81200,1.515083739,103.7236136
SMK TAMAN DAMANSARA ALIFF,Johor,Johor Bahru,81200,1.51535991,103.725754
SK TAMAN TAMPOI UTAMA,Johor,Johor Bahru,81200,1.516043634,103.6801726
SK KONGKONG LAUT,Johor,Johor Bahru,81760,1.516274223,103.9963192
SK SRI AMAR,Johor,Johor Bahru,81100,1.516821202,103.7597054
SK PERUMAHAN TAMPOI 2,Johor,Johor Bahru,81200,1.517437894,103.7027246
SK TAMAN MUTIARA RINI 2,Johor,Johor Bahru,81300,1.519159268,103.629629
